epoch,values
1512405000.0,19.37
1512405900.0,32.26
1512406800.0,27.34
1512407700.0,37.81
1512408600.0,10.41
1512409500.0,29.27
1512410400.0,25.83
1512411300.0,39.38
1512412200.0,17.02
1512413100.0,14.57
1512414000.0,8.82
1512414900.0,9.08
1512415800.0,8.76
1512416700.0,8.59
1512417600.0,8.82
1512418500.0,9.15
1512419400.0,8.46
1512420300.0,8.19
1512421200.0,8.42
1512422100.0,8.41
1512423000.0,8.74
1512423900.0,8.57
1512424800.0,8.38
1512425700.0,8.22
1512426600.0,8.38
1512427500.0,8.68
1512428400.0,8.58
1512429300.0,8.93
1512430200.0,8.06
1512431100.0,7.95
1512432000.0,9.18
1512432900.0,8.57
1512433800.0,8.75
1512434700.0,8.2
1512435600.0,8.75
1512436500.0,8.72
1512437400.0,8.56
1512438300.0,7.77
1512439200.0,8.49
1512440100.0,8.31
1512441000.0,8.25
1512441900.0,7.87
1512442800.0,8.21
1512443700.0,7.84
1512444600.0,7.73
1512445500.0,7.85
1512446400.0,8.6
1512447300.0,8.0
1512448200.0,8.72
1512449100.0,8.48
1512450000.0,8.33
1512450900.0,8.62
1512451800.0,8.51
1512452700.0,8.2
1512453600.0,9.02
1512454500.0,8.69
1512455400.0,8.15
1512456300.0,8.42
1512457200.0,8.4
1512458100.0,8.32
1512459000.0,8.33
1512459900.0,8.12
1512460800.0,8.48
1512461700.0,8.32
1512462600.0,8.53
1512463500.0,8.81
1512464400.0,8.04
1512465300.0,8.09
1512466200.0,8.01
1512467100.0,8.02
1512468000.0,8.5
1512468900.0,8.24
1512469800.0,9.17
1512470700.0,8.51
1512471600.0,8.5
1512472500.0,9.44
1512473400.0,8.6
1512474300.0,8.37
1512475200.0,9.02
1512476100.0,8.12
1512477000.0,8.22
1512477900.0,8.84
1512478800.0,8.75
1512479700.0,11.22
1512480600.0,30.36
1512481500.0,52.45
1512482400.0,8.43
1512483300.0,22.7
1512484200.0,32.76
1512485100.0,27.6
1512486000.0,38.47
1512486900.0,47.44
1512487800.0,16.53
1512488700.0,38.78
1512489600.0,44.88
1512490500.0,48.91
1512491400.0,24.42
1512492300.0,24.67
1512493200.0,27.02
1512494100.0,47.21
1512495000.0,27.11
1512495900.0,17.11
1512496800.0,17.64
1512497700.0,31.03
1512498600.0,21.94
1512499500.0,29.91
1512500400.0,11.69
1512501300.0,11.98
1512502200.0,8.91
1512503100.0,8.19
1512504000.0,8.52
1512504900.0,8.56
1512505800.0,8.05
1512506700.0,8.54
1512507600.0,8.3
1512508500.0,8.23
1512509400.0,8.65
1512510300.0,8.72
1512511200.0,8.17
1512512100.0,8.55
1512513000.0,8.53
1512513900.0,8.63
1512514800.0,8.54
1512515700.0,8.19
1512516600.0,8.56
1512517500.0,8.44
1512518400.0,9.16
1512519300.0,8.38
1512520200.0,7.93
1512521100.0,8.87
1512522000.0,9.01
1512522900.0,8.49
1512523800.0,8.43
1512524700.0,8.29
1512525600.0,9.12
1512526500.0,7.96
1512527400.0,8.88
1512528300.0,8.53
1512529200.0,8.6
1512530100.0,8.49
1512531000.0,8.61
1512531900.0,8.46
1512532800.0,8.3
1512533700.0,7.79
1512534600.0,8.8
1512535500.0,8.41
1512536400.0,8.93
1512537300.0,8.64
1512538200.0,8.25
1512539100.0,8.42
1512540000.0,8.04
1512540900.0,8.19
1512541800.0,8.2
1512542700.0,8.41
1512543600.0,8.2
1512544500.0,8.03
1512545400.0,8.62
1512546300.0,9.11
1512547200.0,8.93
1512548100.0,8.31
1512549000.0,8.34
1512549900.0,8.22
1512550800.0,7.9
1512551700.0,8.65
1512552600.0,8.15
1512553500.0,8.17
1512554400.0,8.19
1512555300.0,9.03
1512556200.0,8.28
1512557100.0,8.95
1512558000.0,8.28
1512558900.0,8.76
1512559800.0,8.61
1512560700.0,8.5
1512561600.0,8.54
1512562500.0,8.91
1512563400.0,8.45
1512564300.0,8.68
1512565200.0,9.76
1512566100.0,32.01
1512567000.0,9.54
1512567900.0,11.74
1512568800.0,19.83
1512569700.0,31.85
1512570600.0,25.71
1512571500.0,33.43
1512572400.0,17.44
1512573300.0,43.91
1512574200.0,19.84
1512575100.0,21.37
1512576000.0,41.68
1512576900.0,44.51
1512577800.0,8.25
1512578700.0,11.04
1512579600.0,46.96
1512580500.0,39.35
1512581400.0,9.33
1512582300.0,17.99
1512583200.0,10.7
1512584100.0,8.81
1512585000.0,8.36
1512585900.0,8.44
1512586800.0,18.84
1512587700.0,8.95
1512588600.0,8.23
1512589500.0,8.37
1512590400.0,8.02
1512591300.0,8.61
1512592200.0,8.95
1512593100.0,8.53
1512594000.0,8.71
1512594900.0,8.1
1512595800.0,8.78
1512596700.0,8.61
1512597600.0,8.21
1512598500.0,9.17
1512599400.0,8.04
1512600300.0,8.45
1512601200.0,9.07
1512602100.0,8.65
1512603000.0,8.46
1512603900.0,8.63
1512604800.0,8.3
1512605700.0,8.4
1512606600.0,8.39
1512607500.0,8.8
1512608400.0,9.43
1512609300.0,8.17
1512610200.0,8.05
1512611100.0,8.01
1512612000.0,8.78
1512612900.0,8.53
1512613800.0,8.4
1512614700.0,8.92
1512615600.0,9.0
1512616500.0,8.87
1512617400.0,8.06
1512618300.0,8.8
1512619200.0,8.08
1512620100.0,8.11
1512621000.0,8.85
1512621900.0,8.5
1512622800.0,8.95
1512623700.0,8.18
1512624600.0,7.76
1512625500.0,8.65
1512626400.0,8.13
1512627300.0,8.01
1512628200.0,8.29
1512629100.0,8.67
1512630000.0,8.62
1512630900.0,8.62
1512631800.0,8.19
1512632700.0,8.26
1512633600.0,8.41
1512634500.0,8.58
1512635400.0,9.36
1512636300.0,8.3
1512637200.0,8.19
1512638100.0,8.06
1512639000.0,8.46
1512639900.0,8.32
1512640800.0,9.31
1512641700.0,9.03
1512642600.0,8.09
1512643500.0,8.28
1512644400.0,8.09
1512645300.0,8.28
1512646200.0,8.46
1512647100.0,8.94
1512648000.0,8.59
1512648900.0,8.61
1512649800.0,9.01
1512650700.0,8.52
1512651600.0,8.94
1512652500.0,41.74
1512653400.0,9.14
1512654300.0,9.73
1512655200.0,10.82
1512656100.0,40.06
1512657000.0,45.33
1512657900.0,33.19
1512658800.0,23.4
1512659700.0,42.98
1512660600.0,37.2
